author_year,R_AdjOR,R_AdjLowerCI1,R_AdjUpperCI1,R_PValue_Adjusted,a,b,c,d
Mattingly 2024,0.85,0.66,1.1,0.5,,,,
Parks 2022,1.59,1.22,2.08,0.045,,,,
Peters 2018,1.61,1.18,2.22,0.004,,,,
Dai 2020,1.67,1.25,2,0.0001,,,,
