Author_year,R_AdjOR,R_AdjLowerCI1,R_AdjUpperCI1,R_PValue_Adjusted,a,b,c,d
Mattingly 2024,0.85,0.66,1.1,0.5,,,,
Maynard 2023,0.89,0.52,1.54,0.72,,,,
Parks 2022,1.59,1.22,2.08,0.045,,,,
Peters 2018,1.61,1.18,2.22,0.004,,,,
Dai 2020,1.67,1.25,2,0.0001,,,,
Mammen 2016,2.21,1.46,3.35,0.045,,,,
